name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
#Gadhvi (He thought he was Gandhi),,109 min,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Yaaram,,110 min,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...Aur Pyaar Ho Gaya,,147 min,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,,142 min,"Drama, Romance, War",7.4,,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
?: A Question Mark,,82 min,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,,116 min,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,,96 min,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,,120 min,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,,161 min,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,,166 min,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
102 Not Out,,102 min,"Comedy, Drama",7.4,,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
10ml LOVE,,87 min,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 O'Clock,,132 min,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 O'Clock,,105 min,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
127 B,,116 min,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13B: Fear Has a New Address,,146 min,"Drama, Horror, Mystery",7.3,,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
15 Park Avenue,,116 min,Drama,7.1,,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
15th August,,168 min,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16 December,,158 min,"Action, Thriller",6.9,,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,,126 min,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
1857,,,"Drama, History",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
19 Revolutions,,94 min,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1920,,138 min,"Horror, Mystery, Romance",6.4,,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 London,,120 min,"Horror, Mystery",4.1,,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920: Evil Returns,,124 min,"Drama, Horror, Romance",4.8,,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,,144 min,"Horror, Mystery, Romance",4.5,,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942: A Love Story,,157 min,"Action, Drama, History",7.2,,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,,136 min,"Action, Drama, War",8.1,,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978: A Teen Night Out,,107 min,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,,113 min,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
19th January,,,Drama,7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
2 Little Indians,,,"Comedy, Family",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,,80 min,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 October,,122 min,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 States,,149 min,"Comedy, Drama, Romance",6.9,,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2.0,,148 min,"Action, Sci-Fi",6.2,,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001: Do Hazaar Ek,,149 min,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2016 the End,,130 min,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
22 Days,,124 min,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,,121 min,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,,126 min,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,,188 min,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
25th July,,,nan,7.6,5.0,Chitra Mitra,,,
26 January,,,nan,6.6,7.0,Ramesh Saigal,Ajit,,
26th July at Barista,,,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,,115 min,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,,103 min,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,,114 min,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Deewarein,,115 min,"Crime, Drama",7.8,,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 Dev,,122 min,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,,170 min,"Comedy, Drama",8.4,,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,,,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Storeys,,100 min,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,,99 min,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,,,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,,,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,,109 min,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,,,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,,140 min,"Comedy, Mystery, Thriller",5.7,,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,,122 min,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,,,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,,128 min,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,,93 min,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,,102 min,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,,125 min,"Horror, Sci-Fi, Thriller",3.6,,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,,145 min,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
404: Error Not Found,,121 min,"Drama, Mystery, Thriller",7.3,,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,,75 min,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,,,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,,113 min,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
5 Ghantey Mien 5 Crore,,111 min,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,,134 min,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
50 Lakh,,,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
5ters: Castle of Dark Master,,110 min,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan
6.40 PM,,,nan,5.4,5.0,Mani Kaul,,,
6-5=2,,104 min,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,,92 min,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
