name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
#Gadhvi (He thought he was Gandhi),,109 min,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,1,0,0,0,0,0,0,0,0,0,0,0,other,
#Yaaram,,110 min,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,0,0,1,1,0,0,0,0,0,0,0,0,other,
...Aur Pyaar Ho Gaya,,147 min,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,1,0,0,1,0,0,0,1,0,0,0,0,other,
...Yahaan,,142 min,"Drama, Romance, War",7.4,,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,1,0,1,0,0,0,0,0,0,0,0,0,other,
?: A Question Mark,,82 min,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,0,0,0,0,0,1,0,0,0,1,1,0,other,
@Andheri,,116 min,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,0,1,0,0,1,1,0,0,0,0,0,0,other,
1:1.6 An Ode to Lost Love,,96 min,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,1,0,0,0,0,0,0,0,0,0,0,0,other,
1:13:7 Ek Tera Saath,,120 min,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,0,0,0,0,0,0,0,0,0,0,1,0,other,
100 Days,,161 min,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,0,0,1,0,0,1,0,0,0,0,1,0,Partho Ghosh,
100% Love,,166 min,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,1,0,1,1,0,0,0,0,0,0,0,0,other,
102 Not Out,,102 min,"Comedy, Drama",7.4,,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,1,0,0,1,0,0,0,0,0,0,0,0,other,
10ml LOVE,,87 min,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,1,0,1,1,0,0,0,0,0,0,0,0,other,
12 O'Clock,,132 min,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,1,0,0,0,1,0,0,0,0,1,0,0,Pramod Chakravorty,
